date,year,month_num,month,area,area_source_label,area_type,parent_area,component,count,method,tent_multiplier,vehicle_multiplier,fellowship_month,flag
2018-02-01,2018,2,Feb,Columbia,Columbia,neighborhood,,tent,16.0,APR2017,1.75,1.66,True,
2018-02-01,2018,2,Feb,Columbia,Columbia,neighborhood,,total,58.0,APR2017,1.75,1.66,True,
2018-02-01,2018,2,Feb,Columbia,Columbia,neighborhood,,vehicle,0.0,APR2017,1.75,1.66,True,
2018-02-01,2018,2,Feb,Cortez,Cortez,neighborhood,,individual,53.0,APR2017,1.75,1.66,True,
2018-02-01,2018,2,Feb,Cortez,Cortez,neighborhood,,tent,1.0,APR2017,1.75,1.66,True,
2018-02-01,2018,2,Feb,Cortez,Cortez,neighborhood,,total,56.0,APR2017,1.75,1.66,True,
2018-02-01,2018,2,Feb,Cortez,Cortez,neighborhood,,vehicle,1.0,APR2017,1.75,1.66,True,
2018-02-01,2018,2,Feb,East Village,East Village,neighborhood,,individual,287.0,APR2017,1.75,1.66,True,
2018-02-01,2018,2,Feb,East Village,East Village,neighborhood,,tent,90.0,APR2017,1.75,1.66,True,
2018-02-01,2018,2,Feb,East Village,East Village,neighborhood,,total,474.0,APR2017,1.75,1.66,True,
2018-02-01,2018,2,Feb,East Village,East Village,neighborhood,,vehicle,18.0,APR2017,1.75,1.66,True,
2018-02-01,2018,2,Feb,Gaslamp,Gaslamp,neighborhood,,individual,84.0,APR2017,1.75,1.66,True,
2018-02-01,2018,2,Feb,Gaslamp,Gaslamp,neighborhood,,tent,0.0,APR2017,1.75,1.66,True,
2018-02-01,2018,2,Feb,Gaslamp,Gaslamp,neighborhood,,total,84.0,APR2017,1.75,1.66,True,
2018-02-01,2018,2,Feb,Gaslamp,Gaslamp,neighborhood,,vehicle,0.0,APR2017,1.75,1.66,True,
2018-02-01,2018,2,Feb,Marina,Marina,neighborhood,,individual,27.0,APR2017,1.75,1.66,True,
2018-02-01,2018,2,Feb,Marina,Marina,neighborhood,,tent,2.0,APR2017,1.75,1.66,True,
2018-02-01,2018,2,Feb,Marina,Marina,neighborhood,,total,34.0,APR2017,1.75,1.66,True,
2018-02-01,2018,2,Feb,Marina,Marina,neighborhood,,vehicle,2.0,APR2017,1.75,1.66,True,
2018-03-01,2018,3,Mar,East Village - North East,North East EV,ev_subarea,East Village,total,86.0,APR2017,1.75,1.66,True,
2018-03-01,2018,3,Mar,East Village - North West,North West EV,ev_subarea,East Village,total,89.0,APR2017,1.75,1.66,True,
2018-03-01,2018,3,Mar,East Village - South East,South East EV,ev_subarea,East Village,total,361.0,APR2017,1.75,1.66,True,
2018-03-01,2018,3,Mar,East Village - South West,South West EV,ev_subarea,East Village,total,58.0,APR2017,1.75,1.66,True,
2018-03-01,2018,3,Mar,City Center,Core,neighborhood,,individual,123.0,APR2017,1.75,1.66,True,
2018-03-01,2018,3,Mar,City Center,Core,neighborhood,,tent,3.0,APR2017,1.75,1.66,True,
2018-03-01,2018,3,Mar,City Center,Core,neighborhood,,total,128.0,APR2017,1.75,1.66,True,
2018-03-01,2018,3,Mar,City Center,Core,neighborhood,,vehicle,0.0,APR2017,1.75,1.66,True,
2018-03-01,2018,3,Mar,Columbia,Columbia,neighborhood,,individual,54.0,APR2017,1.75,1.66,True,
2018-03-01,2018,3,Mar,Columbia,Columbia,neighborhood,,tent,3.0,APR2017,1.75,1.66,True,
2018-03-01,2018,3,Mar,Columbia,Columbia,neighborhood,,total,61.0,APR2017,1.75,1.66,True,
2018-03-01,2018,3,Mar,Columbia,Columbia,neighborhood,,vehicle,1.0,APR2017,1.75,1.66,True,
2018-03-01,2018,3,Mar,Cortez,Cortez,neighborhood,,individual,53.0,APR2017,1.75,1.66,True,
2018-03-01,2018,3,Mar,Cortez,Cortez,neighborhood,,tent,6.0,APR2017,1.75,1.66,True,
2018-03-01,2018,3,Mar,Cortez,Cortez,neighborhood,,total,72.0,APR2017,1.75,1.66,True,
2018-03-01,2018,3,Mar,Cortez,Cortez,neighborhood,,vehicle,5.0,APR2017,1.75,1.66,True,
2018-03-01,2018,3,Mar,East Village,East Village,neighborhood,,individual,398.0,APR2017,1.75,1.66,True,
2018-03-01,2018,3,Mar,East Village,East Village,neighborhood,,tent,90.0,APR2017,1.75,1.66,True,
2018-03-01,2018,3,Mar,East Village,East Village,neighborhood,,total,594.0,APR2017,1.75,1.66,True,
2018-03-01,2018,3,Mar,East Village,East Village,neighborhood,,vehicle,23.0,APR2017,1.75,1.66,True,
2018-03-01,2018,3,Mar,Gaslamp,Gaslamp,neighborhood,,individual,93.0,APR2017,1.75,1.66,True,
2018-03-01,2018,3,Mar,Gaslamp,Gaslamp,neighborhood,,tent,0.0,APR2017,1.75,1.66,True,
2018-03-01,2018,3,Mar,Gaslamp,Gaslamp,neighborhood,,total,93.0,APR2017,1.75,1.66,True,
2018-03-01,2018,3,Mar,Gaslamp,Gaslamp,neighborhood,,vehicle,0.0,APR2017,1.75,1.66,True,
2018-03-01,2018,3,Mar,Marina,Marina,neighborhood,,individual,25.0,APR2017,1.75,1.66,True,
2018-03-01,2018,3,Mar,Marina,Marina,neighborhood,,tent,3.0,APR2017,1.75,1.66,True,
2018-03-01,2018,3,Mar,Marina,Marina,neighborhood,,total,32.0,APR2017,1.75,1.66,True,
2018-03-01,2018,3,Mar,Marina,Marina,neighborhood,,vehicle,1.0,APR2017,1.75,1.66,True,
2018-04-01,2018,4,Apr,East Village - North East,North East EV,ev_subarea,East Village,total,75.0,APR2017,1.75,1.66,False,
2018-04-01,2018,4,Apr,East Village - North West,North West EV,ev_subarea,East Village,total,92.0,APR2017,1.75,1.66,False,
2018-04-01,2018,4,Apr,East Village - South East,South East EV,ev_subarea,East Village,total,294.0,APR2017,1.75,1.66,False,
2018-04-01,2018,4,Apr,East Village - South West,South West EV,ev_subarea,East Village,total,41.0,APR2017,1.75,1.66,False,
2018-04-01,2018,4,Apr,City Center,Core,neighborhood,,individual,106.0,APR2017,1.75,1.66,False,
2018-04-01,2018,4,Apr,City Center,Core,neighborhood,,tent,3.0,APR2017,1.75,1.66,False,
2018-04-01,2018,4,Apr,City Center,Core,neighborhood,,total,111.0,APR2017,1.75,1.66,False,
2018-04-01,2018,4,Apr,City Center,Core,neighborhood,,vehicle,0.0,APR2017,1.75,1.66,False,
2018-04-01,2018,4,Apr,Columbia,Columbia,neighborhood,,individual,37.0,APR2017,1.75,1.66,False,
2018-04-01,2018,4,Apr,Columbia,Columbia,neighborhood,,tent,5.0,APR2017,1.75,1.66,False,
2018-04-01,2018,4,Apr,Columbia,Columbia,neighborhood,,total,46.0,APR2017,1.75,1.66,False,
2018-04-01,2018,4,Apr,Columbia,Columbia,neighborhood,,vehicle,0.0,APR2017,1.75,1.66,False,
2018-04-01,2018,4,Apr,Cortez,Cortez,neighborhood,,individual,39.0,APR2017,1.75,1.66,False,
