obs_month,neighborhood,signal_type,metric,value,is_imputed,source_id
2016-06-01,core,observation,observed_total_units,97.0,false,A
2016-06-01,cortez,observation,observed_individuals,57.0,false,A
2016-06-01,cortez,observation,observed_total_units,57.0,false,A
2016-06-01,east_village,observation,observed_individuals,850.0,false,A
2016-06-01,east_village,observation,observed_total_units,850.0,false,A
2016-06-01,gaslamp,observation,observed_individuals,49.0,false,A
2016-06-01,gaslamp,observation,observed_total_units,49.0,false,A
2016-06-01,marina,observation,observed_individuals,38.0,false,A
2016-06-01,marina,observation,observed_total_units,38.0,false,A
2016-07-01,columbia,observation,observed_individuals,38.0,false,A
2016-07-01,columbia,observation,observed_total_units,38.0,false,A
2016-07-01,core,observation,observed_individuals,119.0,false,A
2016-07-01,core,observation,observed_total_units,119.0,false,A
2016-07-01,cortez,observation,observed_individuals,55.0,false,A
2016-07-01,cortez,observation,observed_total_units,55.0,false,A
2016-07-01,east_village,observation,observed_individuals,865.0,false,A
2016-07-01,east_village,observation,observed_total_units,865.0,false,A
2016-07-01,gaslamp,observation,observed_individuals,37.0,false,A
2016-07-01,gaslamp,observation,observed_total_units,37.0,false,A
2016-07-01,marina,observation,observed_individuals,35.0,false,A
2016-07-01,marina,observation,observed_structures,10.0,false,A
2016-07-01,marina,observation,observed_total_units,45.0,false,A
2016-08-01,columbia,observation,observed_individuals,34.0,false,A
2016-08-01,columbia,observation,observed_total_units,34.0,false,A
2016-08-01,core,observation,observed_individuals,276.0,false,A
2016-08-01,core,observation,observed_total_units,276.0,false,A
2016-08-01,cortez,observation,observed_individuals,86.0,false,A
2016-08-01,cortez,observation,observed_total_units,86.0,false,A
2016-08-01,east_village,observation,observed_individuals,894.0,false,A
2016-08-01,east_village,observation,observed_total_units,894.0,false,A
2016-08-01,gaslamp,observation,observed_individuals,45.0,false,A
2016-08-01,gaslamp,observation,observed_total_units,45.0,false,A
2016-08-01,marina,observation,observed_individuals,51.0,false,A
2016-08-01,marina,observation,observed_total_units,51.0,false,A
2016-09-01,columbia,observation,observed_individuals,47.0,false,A
2016-09-01,columbia,observation,observed_total_units,47.0,false,A
2016-09-01,core,observation,observed_individuals,165.0,false,A
2016-09-01,core,observation,observed_total_units,165.0,false,A
2016-09-01,cortez,observation,observed_individuals,86.0,false,A
2016-09-01,cortez,observation,observed_total_units,86.0,false,A
2016-09-01,east_village,observation,observed_individuals,741.0,false,A
2016-09-01,east_village,observation,observed_total_units,741.0,false,A
2016-09-01,gaslamp,observation,observed_individuals,50.0,false,A
2016-09-01,gaslamp,observation,observed_total_units,50.0,false,A
2016-09-01,marina,observation,observed_individuals,35.0,false,A
2016-09-01,marina,observation,observed_structures,13.0,false,A
2016-09-01,marina,observation,observed_total_units,48.0,false,A
2016-10-01,columbia,observation,observed_individuals,56.0,false,A
2016-10-01,columbia,observation,observed_total_units,56.0,false,A
2016-10-01,core,observation,observed_individuals,148.0,false,A
2016-10-01,core,observation,observed_total_units,148.0,false,A
2016-10-01,cortez,observation,observed_individuals,65.0,false,A
2016-10-01,cortez,observation,observed_total_units,65.0,false,A
2016-10-01,east_village,observation,observed_individuals,783.0,false,A
2016-10-01,east_village,observation,observed_total_units,783.0,false,A
2016-10-01,gaslamp,observation,observed_individuals,34.0,false,A
2016-10-01,gaslamp,observation,observed_total_units,34.0,false,A
2016-10-01,marina,observation,observed_individuals,44.0,false,A
2016-10-01,marina,observation,observed_total_units,44.0,false,A
2016-11-01,columbia,observation,observed_individuals,50.0,false,A
2016-11-01,columbia,observation,observed_total_units,50.0,false,A
2016-11-01,core,observation,observed_individuals,138.0,false,A
2016-11-01,core,observation,observed_total_units,138.0,false,A
2016-11-01,cortez,observation,observed_individuals,72.0,false,A
2016-11-01,cortez,observation,observed_total_units,72.0,false,A
2016-11-01,east_village,observation,observed_individuals,848.0,false,A
2016-11-01,east_village,observation,observed_total_units,848.0,false,A
2016-11-01,gaslamp,observation,observed_individuals,48.0,false,A
2016-11-01,gaslamp,observation,observed_total_units,48.0,false,A
2016-11-01,marina,observation,observed_individuals,18.0,false,A
2016-11-01,marina,observation,observed_total_units,18.0,false,A
2016-12-01,columbia,observation,observed_individuals,43.0,false,A
2016-12-01,columbia,observation,observed_total_units,43.0,false,A
2016-12-01,core,observation,observed_individuals,131.0,false,A
2016-12-01,core,observation,observed_total_units,131.0,false,A
2016-12-01,cortez,observation,observed_individuals,60.0,false,A
2016-12-01,cortez,observation,observed_total_units,60.0,false,A
2016-12-01,east_village,observation,observed_individuals,1094.0,false,A
2016-12-01,east_village,observation,observed_total_units,1094.0,false,A
2016-12-01,gaslamp,observation,observed_individuals,50.0,false,A
2016-12-01,gaslamp,observation,observed_total_units,50.0,false,A
2016-12-01,marina,observation,observed_individuals,36.0,false,A
2016-12-01,marina,observation,observed_total_units,36.0,false,A
2017-01-01,city_center,observation,dsdp_adjusted_total,117.0,false,H
2017-01-01,columbia,observation,dsdp_adjusted_total,36.0,false,H
2017-01-01,columbia,observation,observed_individuals,36.0,false,A
2017-01-01,columbia,observation,observed_total_units,36.0,false,A
2017-01-01,core,observation,observed_individuals,117.0,false,A
2017-01-01,core,observation,observed_total_units,117.0,false,A
2017-01-01,cortez,observation,dsdp_adjusted_total,32.0,false,H
2017-01-01,cortez,observation,observed_individuals,32.0,false,A
