obs_month,geo_block,neighborhood,signal_type,metric,value,is_imputed,source_id
2014-03-01,10100US060730054002002,core,observation,observed_total_units,3.0,false,A
2014-03-01,10100US060730054002003,core,observation,observed_total_units,3.0,false,A
2014-03-01,10100US060730054002007,core,observation,observed_total_units,3.0,false,A
2014-03-01,10100US060730054002010,core,observation,observed_total_units,2.0,false,A
2014-03-01,10100US060730054002011,core,observation,observed_total_units,2.0,false,A
2014-03-01,10100US060730054002012,core,observation,observed_total_units,1.0,false,A
2014-03-01,10100US060730054002013,core,observation,observed_total_units,2.0,false,A
2014-03-01,10100US060730054002014,core,observation,observed_total_units,2.0,false,A
2014-03-01,10100US060730054002016,core,observation,observed_total_units,2.0,false,A
2014-03-01,10100US060730054002020,core,observation,observed_total_units,2.0,false,A
2014-03-01,10100US060730054002022,core,observation,observed_total_units,2.0,false,A
2014-03-01,10100US060730054004003,gaslamp,observation,observed_total_units,1.0,false,A
2014-03-01,10100US060730054004010,marina,observation,observed_total_units,1.0,false,A
2014-03-01,10100US060730054004014,east_village,observation,observed_total_units,12.0,false,A
2014-03-01,10100US060730054004019,marina,observation,observed_total_units,2.0,false,A
2014-03-01,10100US060730054004020,gaslamp,observation,observed_total_units,1.0,false,A
2014-03-01,10100US060730054004027,gaslamp,observation,observed_total_units,1.0,false,A
2014-03-01,10100US060730054004032,gaslamp,observation,observed_total_units,1.0,false,A
2014-03-01,10100US060730056001009,cortez,observation,observed_total_units,2.0,false,A
2014-03-01,10100US060730056001010,cortez,observation,observed_total_units,4.0,false,A
2014-03-01,10100US060730056001011,cortez,observation,observed_total_units,1.0,false,A
2014-03-01,10100US060730056001012,cortez,observation,observed_total_units,2.0,false,A
2014-03-01,10100US060730056001013,cortez,observation,observed_total_units,2.0,false,A
2014-03-01,10100US060730056001014,cortez,observation,observed_total_units,2.0,false,A
2014-03-01,10100US060730056001015,cortez,observation,observed_total_units,1.0,false,A
2014-03-01,10100US060730056001019,cortez,observation,observed_total_units,1.0,false,A
2014-03-01,10100US060730056002060,cortez,observation,observed_total_units,3.0,false,A
2014-04-01,10100US060730051001001,east_village,observation,observed_total_units,6.0,false,A
2014-04-01,10100US060730051001002,east_village,observation,observed_total_units,27.0,false,A
2014-04-01,10100US060730051001003,east_village,observation,observed_total_units,2.0,false,A
2014-04-01,10100US060730051001004,east_village,observation,observed_total_units,3.0,false,A
2014-04-01,10100US060730051001005,east_village,observation,observed_total_units,32.0,false,A
2014-04-01,10100US060730051001006,east_village,observation,observed_total_units,17.0,false,A
2014-04-01,10100US060730051001007,east_village,observation,observed_total_units,2.0,false,A
2014-04-01,10100US060730051001009,east_village,observation,observed_total_units,4.0,false,A
2014-04-01,10100US060730051001010,east_village,observation,observed_total_units,3.0,false,A
2014-04-01,10100US060730051001011,east_village,observation,observed_total_units,28.0,false,A
2014-04-01,10100US060730051001013,east_village,observation,observed_total_units,4.0,false,A
2014-04-01,10100US060730051001014,east_village,observation,observed_total_units,6.0,false,A
2014-04-01,10100US060730051001015,east_village,observation,observed_total_units,1.0,false,A
2014-04-01,10100US060730051002000,east_village,observation,observed_total_units,5.0,false,A
2014-04-01,10100US060730051002008,east_village,observation,observed_total_units,1.0,false,A
2014-04-01,10100US060730051002009,east_village,observation,observed_total_units,3.0,false,A
2014-04-01,10100US060730051002010,east_village,observation,observed_total_units,7.0,false,A
2014-04-01,10100US060730051002011,east_village,observation,observed_total_units,33.0,false,A
2014-04-01,10100US060730051002015,east_village,observation,observed_total_units,1.0,false,A
2014-04-01,10100US060730051002018,east_village,observation,observed_total_units,5.0,false,A
2014-04-01,10100US060730051002019,east_village,observation,observed_total_units,5.0,false,A
2014-04-01,10100US060730051002020,east_village,observation,observed_total_units,4.0,false,A
2014-04-01,10100US060730051002031,east_village,observation,observed_total_units,10.0,false,A
2014-04-01,10100US060730051002033,east_village,observation,observed_total_units,1.0,false,A
2014-04-01,10100US060730052001012,east_village,observation,observed_total_units,1.0,false,A
2014-04-01,10100US060730052001016,east_village,observation,observed_total_units,1.0,false,A
2014-04-01,10100US060730052001018,east_village,observation,observed_total_units,1.0,false,A
2014-04-01,10100US060730052001019,east_village,observation,observed_total_units,6.0,false,A
2014-04-01,10100US060730052001027,east_village,observation,observed_total_units,2.0,false,A
2014-04-01,10100US060730052001028,east_village,observation,observed_total_units,2.0,false,A
2014-04-01,10100US060730052001031,east_village,observation,observed_total_units,44.0,false,A
2014-04-01,10100US060730052001036,east_village,observation,observed_total_units,3.0,false,A
2014-04-01,10100US060730052001038,east_village,observation,observed_total_units,1.0,false,A
2014-04-01,10100US060730052002000,cortez,observation,observed_total_units,2.0,false,A
2014-04-01,10100US060730052002004,core,observation,observed_total_units,1.0,false,A
2014-04-01,10100US060730052002006,core,observation,observed_total_units,1.0,false,A
2014-04-01,10100US060730052002007,core,observation,observed_total_units,1.0,false,A
2014-04-01,10100US060730052002008,core,observation,observed_total_units,5.0,false,A
2014-04-01,10100US060730052002009,core,observation,observed_total_units,1.0,false,A
2014-04-01,10100US060730052002012,east_village,observation,observed_total_units,2.0,false,A
